"sp_ticker","type","date","value","percentage"
PLD,Forward Dividend & Yield,"2023-02-15","3.16 (2.47%)","2.47"
HRL,Forward Dividend & Yield,"2023-02-15","1.10 (2.44%)","2.44"
RL,Forward Dividend & Yield,"2023-02-15","3.00 (2.44%)","2.44"
AFL,Forward Dividend & Yield,"2023-02-15","1.68 (2.40%)","2.40"
HD,Forward Dividend & Yield,"2023-02-15","7.60 (2.40%)","2.40"
CME,Forward Dividend & Yield,"2023-02-15","4.40 (2.39%)","2.39"
EMR,Forward Dividend & Yield,"2023-02-15","2.08 (2.39%)","2.39"
CINF,Forward Dividend & Yield,"2023-02-15","3.00 (2.38%)","2.38"
KR,Forward Dividend & Yield,"2023-02-15","1.04 (2.38%)","2.38"
CHRW,Forward Dividend & Yield,"2023-02-15","2.44 (2.37%)","2.37"
MPC,Forward Dividend & Yield,"2023-02-15","3.00 (2.37%)","2.37"
APA,Forward Dividend & Yield,"2023-02-15","1.00 (2.35%)","2.35"
GEN,Forward Dividend & Yield,"2023-02-15","0.50 (2.33%)","2.33"
BKR,Forward Dividend & Yield,"2023-02-15","0.76 (2.32%)","2.32"
MDLZ,Forward Dividend & Yield,"2023-02-15","1.54 (2.32%)","2.32"
WY,Forward Dividend & Yield,"2023-02-15","0.76 (2.32%)","2.32"
CE,Forward Dividend & Yield,"2023-02-15","2.80 (2.30%)","2.30"
QCOM,Forward Dividend & Yield,"2023-02-15","3.00 (2.29%)","2.29"
MCD,Forward Dividend & Yield,"2023-02-15","6.08 (2.28%)","2.28"
NEE,Forward Dividend & Yield,"2023-02-15","1.70 (2.27%)","2.27"
HII,Forward Dividend & Yield,"2023-02-15","4.96 (2.24%)","2.24"
KDP,Forward Dividend & Yield,"2023-02-15","0.80 (2.24%)","2.24"
NSC,Forward Dividend & Yield,"2023-02-15","5.40 (2.23%)","2.23"
ADM,Forward Dividend & Yield,"2023-02-15","1.80 (2.20%)","2.20"
ADP,Forward Dividend & Yield,"2023-02-15","5.00 (2.20%)","2.20"
ITW,Forward Dividend & Yield,"2023-02-15","5.24 (2.19%)","2.19"
RTX,Forward Dividend & Yield,"2023-02-15","2.20 (2.19%)","2.19"
FDX,Forward Dividend & Yield,"2023-02-15","4.60 (2.17%)","2.17"
HIG,Forward Dividend & Yield,"2023-02-15","1.70 (2.17%)","2.17"
GD,Forward Dividend & Yield,"2023-02-15","5.04 (2.16%)","2.16"
NXPI,Forward Dividend & Yield,"2023-02-15","4.06 (2.15%)","2.15"

